τέλεονἂν#τέλεον ἂν
δύομόνοι#δύο μόνοι
ἀναλογίανμείζονας#ἀναλογίαν μείζονας
κλίσιςτοῦ#κλίσις τοῦ
τὰμέρη#τὰ μέρη
ἐπιλογισμῶντὴν#ἐπιλογισμῶν τὴν
ἀπὸδιαφόρων#ἀπὸ διαφόρων
φαινομένηντῆς#φαινομένην τῆς
πόλουςγινομένην#πόλους γινομένην
ἄραἐστίν#ἄρα ἐστίν
θαλάττηςἀνακυπτόντων#θαλάττης ἀνακυπτόντων
τεεἶναι#τε εἶναι
δοθήσεταιτὴν#δοθήσεται τὴν
τοὺςἔγγιστα#τοὺς ἔγγιστα
ἐπεὶὁ#ἐπεὶ ὁ
ἀπέχῃτῆς#ἀπέχῃ τῆς
δυσὶνἴσαι#δυσὶν ἴσαι
ὑπ'ἐκείνων#ὑπ' ἐκείνων
τὸπρῶτον#τὸ πρῶτον
σημεῖονεἶναι#σημεῖον εἶναι
θεολογικὸνδιὰ#θεολογικὸν διὰ
ἰσημερίανἢ#ἰσημερίαν ἢ
ἂνσφοδροτάτην#ἂν σφοδροτάτην
δύοδὴ#δύο δὴ
διαστήματατῶν#διαστήματα τῶν
ὁστάχυς#ὁ στάχυς
μετὰτούτους#μετὰ τούτους
ἰσημερίανπρὸς#ἰσημερίαν πρὸς
αὐτῶντὴν#αὐτῶν τὴν
ἀρετῶνἐνίας#ἀρετῶν ἐνίας
τῶνοὕτως#τῶν οὕτως
αὐτοῦπόλος#αὐτοῦ πόλος
πόσονὁ#πόσον ὁ
ὅλωςὁ#ὅλως ὁ
καὶἐπιζευχθεῖσαι#καὶ ἐπιζευχθεῖσαι
τῶνἄστρων#τῶν ἄστρων
ἐπεὶγὰρ#ἐπεὶ γὰρ
διορθώσεωςἐπὶ#διορθώσεως ἐπὶ
τῆςἕκτης#τῆς ἕκτης
ὅτιἡ#ὅτι ἡ
περιφέρειαπρὸς#περιφέρεια πρὸς
ὅτιτὸ#ὅτι τὸ
παρὰμέν#παρὰ μέν
ἰσημερίαναὐτῶν#ἰσημερίαν αὐτῶν
ἀρχῆςτῶν#ἀρχῆς τῶν
ποιεῖτὸ#ποιεῖ τὸ
καὶπεριεχέτω#καὶ περιεχέτω
σημεῖαἴσον#σημεῖα ἴσον
πόλωνπεριφέρειαν#πόλων περιφέρειαν
γίνεταιμάλιστα#γίνεται μάλιστα
ὑπὸχεῖρα#ὑπὸ χεῖρα
λόγουτῶν#λόγου τῶν
ἐπεσημήνατομάλιστα#ἐπεσημήνατο μάλιστα
τὸνχειμῶνα#τὸν χειμῶνα
καθάπερτισὶν#καθάπερ τισὶν
γὰρκαὶ#γὰρ καὶ
ἐνοὕτως#ἐν οὕτως
ἡλίουκινήσεως#ἡλίου κινήσεως
τιςἄν#τις ἄν
εὐχεροῦςμεταχειριζώμεθα#εὐχεροῦς μεταχειριζώμεθα
ἄγουσαεὐθεῖα#ἄγουσα εὐθεῖα
τοῦπαχὼν#τοῦ παχὼν
μέσονλόγον#μέσον λόγον
οἴκησινἐγκεκλιμένης#οἴκησιν ἐγκεκλιμένης
ἑαυτὸνχρόνοις#ἑαυτὸν χρόνοις
τῆςἀκινήτου#τῆς ἀκινήτου
οὐρανοῦκαὶ#οὐρανοῦ καὶ
τετηρημέναιςδυνατὸν#τετηρημέναις δυνατὸν
τὴνπεριαγωγὴν#τὴν περιαγωγὴν
κοῦφονἢ#κοῦφον ἢ
ταχυτέραςτῶν#ταχυτέρας τῶν
τοῦτῶν#τοῦ τῶν
ὥραιςἔγγιστα#ὥραις ἔγγιστα
τῆςἀκίδος#τῆς ἀκίδος
ἑπομένηςκεφαλῆς#ἑπομένης κεφαλῆς
ὁμοιομερέστερόςἐστιν#ὁμοιομερέστερός ἐστιν
τοῦτριγώνου#τοῦ τριγώνου
τὰἰσημερινὰ#τὰ ἰσημερινὰ
